Index,Offset,HeaderID,Length,Type,Text
400,32F1,048F,15,StringEntry,"dat\e-f-8-w.fnt"
401,330A,0490,15,StringEntry,"dat\m-f-8-w.fnt"
402,332A,0493,16,StringEntry,"dat\e-f-12-w.fnt"
403,3344,0494,16,StringEntry,"dat\m-f-14-w.fnt"
404,3365,0497,15,StringEntry,"dat\e-f-8-b.fnt"
405,337E,0498,15,StringEntry,"dat\m-f-8-w.fnt"
406,339E,049B,16,StringEntry,"dat\e-f-12-b.fnt"
407,33B8,049C,16,StringEntry,"dat\m-f-14-w.fnt"
408,33E7,04A4,10,StringEntry,"dat\hw.pal"
409,3402,04A6,10,StringEntry,"dat\mw.pal"
410,3424,04AA,10,StringEntry,"dat\hb.pal"
411,343F,04AC,10,StringEntry,"dat\mb.pal"
412,3461,04B0,10,StringEntry,"dat\hr.pal"
413,347C,04B2,10,StringEntry,"dat\mr.pal"
414,349E,04B6,10,StringEntry,"dat\bm.pal"
415,34C0,04BA,10,StringEntry,"dat\f1.pal"
416,34E2,04BE,10,StringEntry,"dat\f2.pal"
417,3504,04C2,10,StringEntry,"dat\f3.pal"
418,3526,04C6,10,StringEntry,"dat\f4.pal"
419,3548,04CA,10,StringEntry,"dat\f5.pal"
420,356A,04CE,10,StringEntry,"dat\f6.pal"
421,358C,04D2,10,StringEntry,"dat\f7.pal"
422,35AE,04D6,10,StringEntry,"dat\se.pal"
423,35D0,04DA,10,StringEntry,"dat\cd.pal"
424,35F2,04E8,16,StringEntry,"dat\ar_lor_1.wof"
425,3624,04EC,16,StringEntry,"dat\AR_LORT1.wof"
426,3656,04F0,16,StringEntry,"dat\ar_lor_2.wof"
427,3688,04F4,16,StringEntry,"dat\ar_lor_3.wof"
428,36BA,04F8,16,StringEntry,"dat\Ar_tra_1.wof"
429,36EC,04FC,16,StringEntry,"dat\Ar_tra_2.wof"
430,371E,0500,16,StringEntry,"dat\Ar_tra_3.wof"
431,3750,0504,16,StringEntry,"dat\Tunnel_1.wof"
432,376A,0505,2,MismatchedLength,"\C"
433,3782,0508,16,StringEntry,"dat\Tunnel_2.wof"
434,379C,0509,2,MismatchedLength,"RC"
435,37B4,050C,16,StringEntry,"dat\Tunnel_3.wof"
436,37E6,0510,16,StringEntry,"dat\Sel_pr_1.wof"
437,3818,0514,16,StringEntry,"dat\Sel_pr_2.wof"
438,384A,0518,16,StringEntry,"dat\Sel_pr_3.wof"
439,387C,051C,16,StringEntry,"dat\Sel_pr_3.wof"
440,38AE,0520,16,StringEntry,"dat\An_air_1.wof"
441,38E0,0524,16,StringEntry,"dat\An_air_2.wof"
442,3912,0528,16,StringEntry,"dat\An_air_3.wof"
443,3944,052C,16,StringEntry,"dat\sapper_1.wof"
444,395E,052D,2,MismatchedLength,"*C"
445,3976,0530,16,StringEntry,"dat\sapper_2.wof"
446,3990,0531,2,MismatchedLength,"*C"
